TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,t_rxn,t_iso,t_100,t_pseudo,F_X,Ro,logRo,P,logP,H,logH,Acetyl,Yield
315,433.15,4.76,0,5,137.8125,177.1875,0.761904762,137.8125,78.74999999,59.06250001,288.75,21.59,8052.119888,8.993690676,624.4022546,6.4367948,918.4894217,6.822730388,3.695454545,19.36991712
10.282555,463.15,3,0,2.75,10,0.282555,318.5220577,10,0.282555,9.717445,0.87906,15.94375124,4466.14102,8.404280008,433.7452183,6.072457307,742.1706401,6.60957919,2.879853118,3.477773024
60,443.15,6,0,0.42,60,0,0,60,0,60,0,24.88636364,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,2.128411429,0.744621096
199.7326203,438.15,8,0,5,169.7326203,30,4.666666667,169.7326203,13.92857143,155.8040489,49.28571428,16.70454545,13918.91573,9.541004038,1144.93421,7.043102456,1729.648509,7.455673493,4.144342105,35.55094089
140,438.15,4,0,5,90,50,2.8,90,23.21428571,66.78571429,82.14285714,17.6,7380.445867,8.906589331,607.096495,6.408687749,917.1387653,6.821258786,2.128411429,51.81818182
20,463.15,6,0,0.42,20,0,0,20,0,20,0,24.88636364,8932.28204,9.097427189,867.4904367,6.765604488,1484.34128,7.302726371,2.128411429,0.528917526
60,453.15,6,0,0.42,60,0,0,60,0,60,0,24.88636364,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,2.128411429,34.96627811
60.18683626,453.15,6,0,5,60.18683626,55,2.818181818,60.18683626,28.38709678,31.79973948,92.25806452,21.59090909,13645.73742,9.521182475,1271.012354,7.147568991,2072.518202,7.63651967,3.695454545,48.45942525
219.8905235,428.15,8,0,5,194.8905235,25,5.2,194.8905235,10.57692308,184.3136004,40.38461538,16.70454545,8113.231629,9.001251542,587.6115462,6.376066094,841.1282348,6.734744127,4.144342105,38.13660111
63.75,448.15,6,0,8,45,18.75,8,45,9.375,35.625,31.25,18.86363636,7269.248917,8.891408252,655.1432466,6.484853909,1042.01625,6.948912818,2.128411429,32.1253012
180,413.15,8,0,4,150,30,3.833333333,150,10.43478261,139.5652174,46.95652174,11.932,2258.59835,7.722499701,125.6247241,4.833299082,165.0495867,5.106245954,2.128411429,26.01407979
80,453.15,8,0,8,75,5,31,75,2.580645161,72.41935484,8.387096774,16.89772727,17004.22169,9.741216927,1583.833484,7.367603443,2582.60568,7.856554122,2.879853118,79.40820444
60,463.15,19,0,0.42,60,0,0,60,0,60,0,12.95454545,26796.84612,10.19603948,2602.47131,7.864216776,4453.023841,8.401338659,2.128411429,18.71794872
106.875,433.15,8,0,8,90,16.875,8,90,7.5,82.5,27.5,18.86363636,5258.527273,8.56760628,407.772901,6.010710404,599.8298264,6.396645992,2.128411429,21.37445783
202,430.2409091,7.69,0,5,135,67,2.205882353,135,25.88121212,109.1187879,97.09575758,14.5,6475.913038,8.775844886,483.1699621,6.18036848,699.6094142,6.5505222,4.144342105,39.5250487
25,443.15,20,0,1.625,24.13483796,0.865162037,28.89632107,24.13483796,2.422453704,21.71238426,8.305555556,18.6,2777.812613,7.929419067,240.2142256,5.481531132,372.4625777,5.92013657,3.248888889,47.12795699
220.032055,418.15,8,0,5,200.032055,20,6,200.032055,7.5,192.532055,31.66666667,16.70454545,4227.326699,8.349325086,259.3921181,5.558340886,350.9164736,5.860548228,4.144342105,28.16133655
46.875,433.15,8,0,8,30,16.875,8,30,7.5,22.5,27.5,18.86363636,1752.842424,7.468993992,135.9243003,4.912098116,199.9432755,5.298033704,2.128411429,3.638746988
75,413.15,5,0,13.375,45,30,2,45,20,25,90,16.81818182,677.5795051,6.518526897,37.68741722,3.629326278,49.514876,3.90227315,4.041182796,4.016110544
190,433.15,10,0,4,150,40,3.375,150,17.77777778,132.2222222,65.18518519,11.932,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,2.128411429,77.18739524
119.8683375,418.15,8,0,5,99.8683375,20,6,99.8683375,7.5,92.3683375,31.66666667,16.70454545,2110.542181,7.654700151,129.5045417,4.863715951,175.1991441,5.165923293,4.144342105,14.5367221
0.530730984,473.15,40,0,5,0.530730984,0,0,0.530730984,0,0.530730984,0,23.78409091,466.9214347,6.146161009,45.86512593,3.825705045,82.18410716,4.40896194,3.508,2.731745766
24.14925373,425.15,6,0,5,20.14925373,4,31.75,20.14925373,1.637795276,18.51145845,6.42519685,15.1,684.4331523,6.528590981,47.36263502,3.857833627,66.67628792,4.199849386,4.269325153,2.123450304
60,453.15,19,0,0.42,60,0,0,60,0,60,0,12.95454545,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,2.128411429,55.25641026
